Task,Priority,Tags,Created Date,Due Date,Alarm
Plan weekend trip,High,Work,2023-03-25,2023-09-25,False
Book flight tickets,Low,Work,2023-09-26,2024-08-26,False
Buy birthday gift,Medium,Personal,2023-02-19,2023-04-17,False
Plan weekend trip,Medium,Personal,2024-03-28,2024-06-24,True
Join gym session,Medium,Personal,2023-06-02,2023-07-11,False
Book flight tickets,High,Personal,2023-05-27,2024-08-02,False
Schedule car service,Medium,Work,2023-12-19,2024-03-23,True
Work on project,High,Work,2023-06-25,2023-08-20,False
Take stationary,Low,Personal,2023-04-26,2024-02-19,True
Write report,Medium,Personal,2023-08-25,2024-11-17,False
Attend seminar,Low,Personal,2024-05-27,2024-07-30,True
Send emails,Low,Work,2023-01-05,2024-01-04,False
Call plumber,Low,Work,2023-08-29,2024-08-16,True
Schedule car service,Medium,Personal,2023-06-03,2024-08-27,True
Organize desk,Medium,Personal,2023-07-20,2024-02-18,False
Send emails,Medium,Work,2023-02-23,2024-05-25,True
Read book,Medium,Work,2023-02-06,2023-05-14,False
Call plumber,Medium,Personal,2023-05-07,2024-03-10,False
Read book,High,Work,2023-08-19,2024-02-07,True
Work on project,Medium,Work,2024-06-26,2024-07-09,False
Organize desk,High,Work,2023-08-26,2023-08-27,True
Schedule car service,High,Personal,2023-06-17,2023-10-17,True
Take groceries,Low,Work,2023-12-10,2024-05-26,False
Call plumber,Medium,Work,2024-09-15,2024-10-27,False
Visit doctor,High,Personal,2023-11-19,2024-06-16,False
Plan weekend trip,Medium,Personal,2024-07-24,2024-12-27,False
Plan weekend trip,Low,Work,2024-09-09,2024-12-06,False
Renew library membership,Low,Work,2023-01-30,2024-09-23,False
Join gym session,High,Work,2024-01-20,2024-12-06,True
Take groceries,High,Personal,2023-08-27,2024-08-28,True
Call plumber,Medium,Personal,2023-05-03,2023-05-27,False
Call plumber,High,Personal,2023-12-05,2024-11-16,False
Read book,Low,Personal,2024-03-13,2024-09-20,False
Take stationary,High,Personal,2023-03-19,2024-02-29,False
Renew library membership,Medium,Personal,2023-11-03,2024-04-24,False
Visit doctor,Medium,Personal,2023-02-18,2023-06-02,False
Join gym session,High,Personal,2023-01-11,2023-05-19,False
Visit doctor,Medium,Work,2023-01-26,2024-01-29,True
Renew library membership,High,Work,2023-04-25,2024-09-07,False
Plan weekend trip,Low,Work,2024-08-23,2024-09-11,True
Send emails,Low,Work,2023-01-10,2023-05-21,True
Join gym session,High,Personal,2023-01-23,2023-03-07,True
Buy birthday gift,Medium,Personal,2023-07-18,2023-09-14,False
Visit doctor,Medium,Personal,2024-02-04,2024-04-24,False
Organize desk,Low,Personal,2023-11-23,2024-01-16,False
Complete meeting,Low,Work,2024-03-29,2024-11-03,False
Write report,Low,Personal,2023-03-20,2023-05-15,False
Take groceries,High,Personal,2023-04-19,2023-12-04,False
Read book,Medium,Work,2023-05-18,2024-05-10,True
Renew library membership,High,Work,2023-11-23,2024-04-03,True
Buy birthday gift,High,Personal,2023-11-19,2024-04-21,False
Call plumber,Medium,Personal,2024-07-28,2024-10-23,True
Organize desk,Low,Personal,2024-05-07,2024-05-14,True
Complete meeting,High,Personal,2023-10-28,2023-12-04,False
Take groceries,High,Personal,2023-06-01,2024-07-07,True
Visit doctor,High,Personal,2024-04-22,2024-12-18,False
Book flight tickets,High,Work,2024-03-27,2024-09-12,True
Take stationary,Low,Work,2023-01-18,2023-09-05,False
Book flight tickets,Medium,Personal,2023-06-03,2024-06-15,False
Prepare presentation,Low,Personal,2023-07-04,2024-06-24,False
Take stationary,Low,Personal,2024-06-01,2024-12-07,True
Renew library membership,High,Personal,2023-04-12,2023-07-22,True
Attend seminar,High,Work,2024-04-08,2024-07-01,True
Read book,High,Work,2023-02-10,2023-07-08,True
Buy birthday gift,High,Work,2023-02-18,2023-03-12,False
Read book,Medium,Work,2023-05-30,2024-07-31,False
Complete meeting,High,Work,2024-06-07,2024-10-23,False
Book flight tickets,High,Work,2023-10-24,2024-02-27,False
Book flight tickets,Medium,Work,2023-11-20,2024-01-17,True
Write report,High,Personal,2024-05-17,2024-12-25,True
Write report,Low,Work,2024-04-23,2024-10-21,False
Plan weekend trip,Low,Personal,2023-09-25,2024-06-28,True
Book flight tickets,Low,Work,2023-12-22,2024-05-23,False
Schedule car service,Medium,Work,2023-08-23,2024-11-15,False
Prepare presentation,Medium,Personal,2023-01-11,2024-08-19,True
Renew library membership,Medium,Work,2023-11-30,2024-05-02,False
Go to school,High,Personal,2023-02-11,2024-06-01,True
Plan weekend trip,High,Work,2024-01-27,2024-03-21,True
Write report,Medium,Work,2024-04-19,2024-09-27,True
Buy birthday gift,High,Personal,2023-05-22,2024-01-30,True
Visit doctor,Medium,Work,2023-07-08,2023-11-27,False
Visit doctor,High,Personal,2024-04-20,2024-04-23,True
Work on project,Low,Work,2023-06-07,2024-04-11,False
Visit doctor,Low,Work,2023-01-14,2024-10-19,True
Take stationary,High,Personal,2023-11-07,2023-12-28,False
Renew library membership,Medium,Personal,2023-02-03,2024-11-01,True
Send emails,High,Work,2023-01-18,2023-11-05,False
Book flight tickets,Medium,Work,2024-07-30,2024-10-08,False
Read book,Medium,Work,2023-08-09,2024-03-05,True
Send emails,High,Personal,2023-05-19,2024-01-21,True
Send emails,Low,Personal,2023-06-01,2024-08-07,True
Take stationary,Low,Work,2023-02-15,2023-10-06,True
Go to school,High,Work,2023-11-24,2024-11-25,True
Take groceries,High,Work,2023-09-22,2023-10-13,False
Work on project,Low,Personal,2023-12-21,2024-05-15,True
Visit doctor,High,Work,2023-03-04,2024-08-03,False
Organize desk,High,Work,2023-01-18,2023-11-05,True
Book flight tickets,Medium,Personal,2023-09-26,2023-10-17,False
Book flight tickets,Low,Personal,2023-09-01,2024-08-07,False
Read book,Medium,Personal,2023-03-07,2023-08-27,True
Go to school,High,Personal,2023-05-25,2023-11-25,False
Work on project,Low,Work,2023-06-25,2024-06-29,True
Read book,Low,Work,2023-02-23,2024-05-03,False
Go to bank,Medium,Personal,2023-02-09,2024-04-29,True
Schedule car service,Medium,Work,2023-05-27,2024-05-02,False
Send emails,Medium,Work,2023-05-03,2024-10-19,True
Buy birthday gift,Medium,Personal,2023-07-16,2024-06-06,False
Buy birthday gift,High,Work,2023-07-12,2024-12-11,False
Send emails,Medium,Personal,2023-09-22,2024-12-16,False
Join gym session,Medium,Work,2024-03-14,2024-08-27,False
Send emails,Low,Personal,2024-06-05,2024-11-24,False
Join gym session,High,Personal,2023-10-17,2023-12-02,True
Complete meeting,Low,Work,2024-02-02,2024-07-19,True
Work on project,High,Personal,2023-05-04,2023-11-08,True
Join gym session,Low,Work,2023-02-05,2023-08-07,False
Go to school,Low,Work,2023-04-22,2024-09-21,True
Work on project,High,Personal,2023-07-29,2024-07-23,False
Complete meeting,Low,Personal,2023-02-18,2024-02-16,False
Go to school,Medium,Work,2023-08-28,2024-01-19,False
Buy birthday gift,High,Work,2023-01-13,2024-11-05,False
Schedule car service,Medium,Work,2023-07-31,2023-11-30,False
Prepare presentation,Low,Work,2024-01-19,2024-03-30,False
Book flight tickets,High,Personal,2023-03-24,2023-07-21,True
Write report,High,Personal,2023-10-07,2024-09-15,True
Join gym session,Medium,Work,2024-04-05,2024-07-27,False
Renew library membership,High,Work,2024-07-03,2024-10-27,False
Plan weekend trip,Medium,Work,2024-06-12,2024-10-12,True
Call plumber,Low,Work,2024-03-22,2024-05-07,False
Schedule car service,Medium,Personal,2023-11-02,2024-03-03,False
Go to school,High,Personal,2023-09-21,2023-12-19,False
Plan weekend trip,Medium,Work,2023-10-12,2024-10-20,False
Go to school,Low,Work,2023-05-03,2024-05-07,True
Write report,Medium,Work,2024-08-16,2024-09-21,True
Visit doctor,High,Work,2023-02-25,2024-09-24,True
Attend seminar,Medium,Personal,2023-08-04,2024-11-10,False
Work on project,Medium,Personal,2024-05-02,2024-07-22,True
Take stationary,Medium,Work,2023-08-31,2024-07-12,False
Book flight tickets,Medium,Work,2024-02-22,2024-11-23,True
Book flight tickets,High,Personal,2023-03-05,2023-07-23,True
Read book,Low,Work,2024-01-29,2024-11-14,True
Take groceries,Medium,Personal,2023-01-26,2023-10-09,False
Prepare presentation,High,Work,2023-01-10,2024-01-18,False
Buy birthday gift,High,Work,2023-09-24,2024-11-04,True
Visit doctor,Low,Personal,2023-04-29,2024-11-25,False
Take groceries,Low,Work,2023-05-07,2023-07-15,False
Send emails,Low,Work,2024-01-24,2024-07-05,False
Go to school,Low,Work,2023-09-16,2024-03-01,True
Organize desk,Medium,Personal,2024-10-19,2024-12-14,True
Send emails,High,Work,2024-05-15,2024-09-04,True
Read book,High,Work,2023-01-28,2024-07-05,False
Visit doctor,Low,Personal,2023-03-22,2023-04-23,True
Go to school,Low,Work,2023-05-17,2024-11-07,True
Take groceries,Low,Work,2024-01-30,2024-05-13,True
Go to bank,High,Personal,2023-08-11,2024-05-18,True
Prepare presentation,High,Personal,2023-04-13,2023-09-25,False
Go to bank,Low,Work,2023-08-09,2024-06-23,False
Renew library membership,Low,Personal,2023-10-14,2024-05-05,False
Read book,Medium,Work,2023-06-04,2023-08-21,False
Schedule car service,High,Work,2024-06-05,2024-08-30,False
Renew library membership,High,Personal,2023-03-03,2024-03-31,False
Join gym session,High,Work,2023-01-10,2023-10-28,False
Plan weekend trip,Medium,Work,2024-08-03,2024-10-08,True
Take stationary,Medium,Personal,2023-03-31,2024-09-30,False
Take groceries,Medium,Work,2023-06-28,2024-04-25,True
Prepare presentation,Medium,Personal,2023-01-12,2024-07-28,False
Work on project,Medium,Work,2023-03-05,2024-06-06,True
Renew library membership,Low,Personal,2024-03-12,2024-06-11,True
Take groceries,Low,Work,2023-01-08,2024-05-22,False
Work on project,Medium,Personal,2023-01-14,2024-01-22,False
Renew library membership,Medium,Work,2023-11-26,2024-11-01,False
Complete meeting,Low,Work,2023-10-15,2024-07-03,True
Plan weekend trip,High,Work,2023-05-18,2023-05-31,True
Attend seminar,High,Work,2023-10-19,2023-11-17,False
Work on project,High,Work,2024-04-28,2024-12-23,True
Join gym session,High,Work,2023-01-09,2023-08-30,True
Send emails,High,Personal,2024-01-14,2024-10-11,False
Organize desk,High,Personal,2023-07-28,2024-05-28,False
Buy birthday gift,Low,Work,2024-02-07,2024-08-11,True
Plan weekend trip,Medium,Work,2024-11-09,2024-12-12,False
Prepare presentation,Low,Personal,2024-02-27,2024-09-24,True
Join gym session,Medium,Work,2023-01-02,2023-08-04,False
Join gym session,High,Personal,2024-08-29,2024-09-16,False
Book flight tickets,Medium,Work,2024-04-07,2024-09-27,True
Call plumber,Medium,Work,2023-06-02,2023-11-27,False
Read book,Medium,Personal,2023-02-07,2024-05-16,True
Go to school,Medium,Personal,2023-12-15,2024-09-03,True
Send emails,Low,Work,2023-01-19,2023-05-12,False
Work on project,High,Personal,2023-01-29,2024-10-19,True
Take groceries,High,Work,2024-08-23,2024-11-27,False
Call plumber,Medium,Personal,2023-07-22,2023-11-25,True
Join gym session,Medium,Personal,2024-08-26,2024-12-20,False
Write report,Medium,Work,2023-02-08,2024-12-27,False
Complete meeting,Medium,Personal,2023-10-23,2024-06-08,False
Renew library membership,High,Work,2024-01-27,2024-11-25,True
Renew library membership,Low,Work,2023-04-10,2024-03-01,True
Complete meeting,Medium,Personal,2023-06-06,2024-02-12,False
Complete meeting,Low,Personal,2023-12-06,2024-10-13,False
Renew library membership,Low,Work,2023-02-02,2023-07-14,True
Organize desk,Medium,Personal,2023-09-22,2024-07-11,False
Call plumber,Medium,Personal,2023-01-09,2023-02-15,False
Go to bank,High,Personal,2023-09-27,2024-09-01,True
Complete meeting,Medium,Personal,2023-08-23,2024-07-20,False
Send emails,Medium,Work,2023-05-30,2024-08-13,False
Buy birthday gift,Medium,Personal,2024-02-01,2024-12-14,True
Call plumber,Medium,Personal,2023-05-09,2023-12-09,True
Join gym session,High,Personal,2023-10-15,2024-09-27,False
Take stationary,Medium,Personal,2024-08-04,2024-12-06,True
Go to bank,Medium,Work,2024-01-25,2024-04-26,False
Read book,High,Personal,2024-05-15,2024-10-04,True
Work on project,Low,Personal,2023-09-12,2024-02-02,True
Book flight tickets,Low,Personal,2023-05-06,2024-01-01,False
Buy birthday gift,High,Personal,2023-04-16,2024-09-06,True
Call plumber,Medium,Work,2023-04-21,2024-01-14,True
Take stationary,Medium,Work,2023-05-23,2023-10-24,False
Complete meeting,High,Personal,2023-08-14,2024-12-20,False
Go to school,High,Work,2024-05-31,2024-08-12,False
Book flight tickets,High,Personal,2024-06-19,2024-11-11,True
Write report,High,Personal,2023-02-26,2023-05-22,True
Renew library membership,Medium,Work,2023-09-29,2024-02-23,False
Work on project,Medium,Work,2023-09-22,2024-02-17,True
Read book,High,Work,2024-08-26,2024-10-06,True
Prepare presentation,High,Work,2024-08-07,2024-12-07,False
Read book,High,Personal,2023-09-14,2024-01-05,True
Complete meeting,High,Personal,2024-04-22,2024-12-25,True
Send emails,Low,Work,2023-09-01,2023-11-15,False
Organize desk,Low,Work,2023-10-04,2024-01-15,False
Attend seminar,High,Personal,2023-04-21,2024-03-24,False
Schedule car service,Medium,Work,2023-02-18,2024-01-15,False
Go to school,Low,Work,2023-11-02,2024-02-16,False
Organize desk,Medium,Work,2023-10-23,2024-08-04,True
Call plumber,Low,Work,2023-03-08,2024-07-10,True
Call plumber,Medium,Personal,2024-04-12,2024-04-16,True
Schedule car service,Low,Work,2023-08-13,2024-03-15,True
Visit doctor,Low,Personal,2023-12-22,2024-08-08,False
Take stationary,Low,Work,2023-06-21,2023-12-25,True
Visit doctor,Medium,Personal,2024-07-06,2024-08-05,True
Write report,Low,Work,2023-05-04,2024-04-27,True
Go to school,Low,Work,2024-05-25,2024-08-09,False
Write report,Medium,Work,2023-03-06,2024-12-28,False
Buy birthday gift,High,Work,2023-05-24,2024-12-09,False
Call plumber,Low,Work,2023-03-22,2024-09-11,True
Send emails,Medium,Personal,2023-11-01,2024-12-10,True
Buy birthday gift,Medium,Work,2023-05-12,2024-04-26,True
Join gym session,Low,Work,2023-02-26,2023-09-28,True
Write report,Medium,Work,2023-11-30,2024-05-24,True
Organize desk,Medium,Personal,2023-08-31,2024-02-25,True
Read book,Low,Personal,2024-02-03,2024-10-31,False
Take stationary,High,Personal,2023-02-27,2024-05-04,False
Join gym session,Low,Personal,2023-10-24,2024-04-13,True
Go to school,Medium,Work,2023-01-18,2024-01-17,False
Plan weekend trip,High,Work,2023-01-29,2023-12-26,False
Attend seminar,Medium,Work,2023-11-09,2024-07-23,False
Work on project,Medium,Personal,2023-02-05,2023-03-24,True
Buy birthday gift,Low,Personal,2023-04-10,2024-12-04,True
Take stationary,High,Work,2024-09-25,2024-12-15,True
Write report,Medium,Work,2023-07-07,2024-06-25,False
Plan weekend trip,High,Personal,2023-08-30,2024-02-12,True
Take stationary,Medium,Personal,2023-06-18,2023-10-07,False
Go to bank,Low,Personal,2023-01-23,2024-02-26,True
Take stationary,High,Personal,2023-12-01,2024-09-30,True
Send emails,Low,Personal,2023-11-19,2024-03-04,True
Attend seminar,Medium,Personal,2023-11-04,2023-12-31,False
Work on project,High,Personal,2023-01-26,2023-10-06,False
Join gym session,High,Personal,2024-06-09,2024-11-23,False
Join gym session,Medium,Work,2023-08-26,2023-10-05,True
Go to school,High,Personal,2023-04-08,2024-12-27,False
Read book,Low,Work,2023-06-04,2023-08-23,True
Organize desk,Medium,Work,2023-02-06,2023-10-19,True
Organize desk,High,Work,2023-05-12,2023-05-31,True
Call plumber,Low,Work,2023-12-11,2024-12-28,False
Take groceries,High,Work,2023-09-24,2024-11-21,True
Work on project,High,Personal,2023-12-18,2024-01-04,True
Write report,Low,Work,2023-04-03,2024-12-29,True
Read book,High,Work,2023-12-10,2024-10-03,True
Join gym session,Medium,Work,2023-09-14,2024-12-22,True
Work on project,Low,Work,2023-06-22,2024-11-18,True
Prepare presentation,Medium,Personal,2023-11-07,2024-07-20,True
Go to bank,High,Work,2023-03-15,2023-11-09,True
Join gym session,Medium,Work,2023-05-05,2023-12-06,False
Send emails,Low,Personal,2024-05-25,2024-08-02,True
Send emails,High,Personal,2024-02-04,2024-04-18,True
Attend seminar,Medium,Work,2024-03-02,2024-09-05,True
Send emails,Low,Personal,2023-02-10,2024-02-13,True
Complete meeting,Low,Work,2023-05-21,2024-09-04,True
Attend seminar,Medium,Personal,2023-01-17,2023-03-12,True
Buy birthday gift,Low,Personal,2023-05-07,2023-08-16,True
Work on project,High,Personal,2024-06-04,2024-10-29,False
Send emails,Low,Personal,2024-02-13,2024-12-11,False
Plan weekend trip,Medium,Work,2024-04-26,2024-12-10,True
Prepare presentation,Medium,Personal,2023-08-11,2024-05-15,False
Attend seminar,High,Personal,2024-01-02,2024-01-22,False
Call plumber,High,Work,2024-03-11,2024-08-23,True
Complete meeting,Medium,Personal,2023-06-22,2024-05-05,True
Call plumber,Low,Work,2023-03-07,2024-03-26,True
Attend seminar,Medium,Personal,2024-01-28,2024-12-05,False
Write report,High,Work,2023-02-26,2024-12-29,True
Go to school,High,Personal,2024-08-30,2024-11-03,False
Book flight tickets,Medium,Work,2023-12-15,2024-04-14,True
Prepare presentation,Medium,Work,2023-08-30,2023-11-10,True
Read book,Medium,Work,2023-05-06,2023-12-31,True
Plan weekend trip,High,Work,2023-12-11,2024-03-27,True
Renew library membership,High,Work,2024-05-31,2024-07-28,False
Take stationary,Medium,Work,2023-06-18,2024-08-06,True
Organize desk,Low,Personal,2023-07-02,2024-12-09,False
Go to school,Low,Personal,2023-09-17,2024-03-06,False
Organize desk,Low,Personal,2024-08-24,2024-11-06,True
Go to bank,Low,Work,2023-12-11,2024-01-17,True
Write report,High,Work,2023-02-18,2024-08-04,True
Attend seminar,High,Work,2024-11-04,2024-12-13,False
Buy birthday gift,Medium,Work,2024-04-13,2024-09-08,False
Organize desk,Medium,Personal,2023-02-15,2024-10-30,True
Schedule car service,Medium,Work,2023-05-25,2024-08-09,False
Send emails,Medium,Personal,2024-09-12,2024-11-21,False
Complete meeting,High,Work,2023-01-30,2024-12-04,True
Visit doctor,Low,Personal,2024-04-02,2024-04-07,False
Book flight tickets,High,Work,2023-08-15,2024-04-26,False
Send emails,Medium,Personal,2023-02-25,2024-10-09,False
Renew library membership,Low,Work,2023-02-18,2023-06-20,False
Organize desk,High,Work,2023-04-04,2023-06-22,True
Take stationary,High,Personal,2023-07-31,2024-06-24,False
Send emails,Medium,Work,2023-06-12,2024-02-22,True
Prepare presentation,Medium,Personal,2024-03-16,2024-09-29,True
Book flight tickets,Medium,Work,2023-05-08,2024-01-24,True
Take groceries,Low,Personal,2023-01-12,2023-08-26,True
Go to bank,Medium,Personal,2023-01-30,2024-11-21,False
Schedule car service,Medium,Personal,2023-05-19,2024-06-27,False
Visit doctor,Low,Personal,2023-04-09,2023-05-23,False
Organize desk,High,Work,2023-12-09,2024-03-13,False
Visit doctor,Low,Personal,2023-01-01,2024-07-01,False
Take groceries,Medium,Work,2023-07-08,2023-09-15,True
Send emails,High,Work,2024-03-15,2024-08-14,False
Take stationary,Medium,Work,2023-08-09,2024-11-03,True
Work on project,Low,Personal,2023-05-07,2024-10-21,True
Send emails,Medium,Work,2024-04-07,2024-12-12,False
Schedule car service,Low,Personal,2023-02-20,2024-03-27,False
Prepare presentation,High,Work,2023-11-04,2024-03-28,True
Complete meeting,Medium,Personal,2023-04-16,2024-01-16,False
Call plumber,Medium,Work,2023-04-28,2023-09-28,False
Call plumber,Medium,Work,2023-02-11,2023-04-19,True
Take stationary,High,Work,2023-04-12,2024-10-24,False
Join gym session,Medium,Work,2024-01-05,2024-05-24,True
Book flight tickets,Medium,Personal,2024-09-13,2024-11-06,True
Write report,Medium,Work,2023-09-25,2024-08-10,True
Schedule car service,Medium,Work,2023-04-21,2024-11-12,True
Send emails,Medium,Personal,2024-03-06,2024-11-28,False
Buy birthday gift,Medium,Personal,2023-09-02,2024-01-09,False
Buy birthday gift,Medium,Work,2023-06-07,2024-07-04,True
Plan weekend trip,High,Personal,2024-01-14,2024-06-11,False
Book flight tickets,Low,Work,2023-07-27,2023-08-20,False
Write report,Medium,Personal,2024-03-04,2024-03-13,False
Read book,Medium,Personal,2023-11-20,2024-11-25,True
Renew library membership,Low,Work,2023-01-08,2023-05-05,True
Write report,High,Personal,2024-06-06,2024-12-14,False
Prepare presentation,Medium,Work,2023-06-19,2024-04-03,False
Take groceries,Medium,Work,2023-02-19,2023-05-07,True
Organize desk,High,Personal,2024-02-08,2024-05-12,False
Take groceries,Low,Work,2023-04-28,2024-09-07,False
Read book,Medium,Work,2024-10-23,2024-11-07,True
Call plumber,Medium,Work,2023-09-25,2024-05-27,True
Complete meeting,Low,Personal,2023-03-21,2024-12-26,True
Go to bank,Low,Personal,2023-08-03,2024-02-14,True
Organize desk,Low,Personal,2023-10-29,2024-02-22,False
Write report,Medium,Personal,2023-11-13,2024-08-12,True
Go to bank,High,Work,2024-08-21,2024-11-20,True
Take groceries,Medium,Personal,2023-11-01,2024-08-31,False
Buy birthday gift,Low,Personal,2023-01-22,2023-10-05,False
Take groceries,High,Work,2023-03-25,2024-01-02,False
Book flight tickets,High,Personal,2023-08-30,2024-08-31,False
Schedule car service,Medium,Personal,2023-11-29,2024-03-30,False
Book flight tickets,Medium,Work,2024-04-25,2024-08-15,False
Read book,High,Personal,2024-03-14,2024-06-22,False
Call plumber,High,Work,2023-12-18,2024-09-17,False
Go to school,Low,Personal,2023-08-11,2024-01-06,True
Read book,Low,Personal,2024-02-14,2024-12-26,True
Go to bank,High,Work,2023-07-06,2024-07-07,False
Attend seminar,Low,Personal,2023-05-07,2023-10-26,False
Join gym session,High,Work,2023-12-06,2024-07-07,True
Complete meeting,Medium,Work,2023-05-30,2023-11-16,True
Buy birthday gift,Medium,Work,2023-09-09,2023-12-05,False
Call plumber,High,Personal,2023-07-27,2023-10-23,False
Book flight tickets,Medium,Personal,2023-09-29,2024-07-24,True
Attend seminar,Medium,Work,2023-03-22,2024-01-19,True
Go to bank,Medium,Work,2023-08-20,2024-01-30,False
Attend seminar,High,Work,2023-09-01,2024-07-14,True
Go to school,Low,Work,2023-12-23,2024-08-26,True
Renew library membership,Low,Work,2023-09-05,2023-10-18,True
Book flight tickets,Low,Personal,2023-10-05,2024-11-16,True
Call plumber,Medium,Personal,2023-01-04,2024-06-16,True
Read book,Medium,Work,2023-11-04,2024-06-30,True
Take groceries,High,Personal,2023-08-25,2023-12-12,False
Schedule car service,Medium,Work,2023-05-22,2024-09-26,True
Complete meeting,Medium,Work,2023-05-22,2024-01-03,True
Attend seminar,Medium,Work,2024-06-08,2024-09-08,True
Go to school,High,Work,2023-03-25,2024-09-11,True
Book flight tickets,High,Personal,2023-08-25,2024-09-20,True
Prepare presentation,Medium,Personal,2023-11-22,2024-05-29,True
Attend seminar,Low,Personal,2023-08-19,2024-07-24,True
Take stationary,Medium,Personal,2024-02-16,2024-08-16,False
Write report,High,Work,2023-03-04,2024-03-31,False
Send emails,Medium,Personal,2023-02-18,2023-05-30,True
Complete meeting,High,Personal,2023-01-11,2023-12-17,True
Complete meeting,Medium,Work,2023-05-12,2023-11-10,False
Join gym session,High,Personal,2024-04-01,2024-08-08,False
Take stationary,High,Personal,2023-09-27,2024-04-02,False
Go to bank,Medium,Personal,2023-08-08,2024-11-19,False
Read book,Medium,Work,2023-09-12,2024-01-12,True
Go to bank,Low,Personal,2023-02-11,2024-12-21,False
Go to bank,Medium,Personal,2023-04-23,2024-03-31,True
Book flight tickets,Low,Personal,2024-07-28,2024-09-03,False
Attend seminar,Medium,Work,2023-12-09,2024-02-05,False
Go to school,Medium,Work,2023-12-24,2024-11-03,True
Visit doctor,Low,Work,2023-01-08,2023-09-30,False
Schedule car service,High,Personal,2023-11-18,2024-10-29,True
Send emails,High,Work,2023-03-02,2024-09-15,False
Work on project,High,Personal,2023-04-04,2023-10-12,True
Schedule car service,High,Work,2023-01-01,2024-12-19,True
Visit doctor,Low,Work,2023-02-16,2023-06-17,False
Take stationary,High,Work,2023-10-21,2023-10-28,True
Send emails,High,Work,2024-08-03,2024-10-09,False
Call plumber,High,Personal,2023-09-11,2024-06-20,False
Book flight tickets,Medium,Work,2023-05-10,2024-07-14,True
Organize desk,Medium,Work,2023-04-21,2023-07-12,True
Book flight tickets,Medium,Personal,2024-03-25,2024-08-29,False
Go to bank,Low,Work,2024-04-06,2024-07-30,False
Join gym session,Low,Personal,2023-06-14,2024-06-02,False
Organize desk,High,Personal,2024-06-21,2024-07-26,True
Join gym session,High,Personal,2023-08-08,2024-04-08,False
Go to school,Medium,Work,2024-07-01,2024-08-14,True
Plan weekend trip,High,Work,2023-10-03,2024-03-09,False
Organize desk,High,Work,2023-06-12,2024-07-26,False
Prepare presentation,High,Personal,2024-09-17,2024-09-28,False
Go to school,Low,Work,2023-02-12,2024-05-06,True
Take stationary,High,Work,2023-06-06,2024-02-06,True
Prepare presentation,Low,Work,2023-11-04,2023-12-10,True
Book flight tickets,High,Personal,2023-04-16,2023-07-25,False
Send emails,Low,Personal,2023-06-17,2024-05-31,True
Organize desk,Low,Work,2023-02-08,2024-03-09,True
Write report,Low,Work,2023-07-10,2024-12-24,True
Take stationary,High,Personal,2023-05-18,2024-04-29,True
Renew library membership,Medium,Personal,2023-08-28,2023-12-18,True
Book flight tickets,Medium,Work,2023-12-23,2024-05-16,False
Join gym session,Low,Personal,2023-08-31,2024-11-25,True
Visit doctor,Low,Work,2024-03-14,2024-08-08,True
Visit doctor,Low,Personal,2024-01-18,2024-04-10,True
Schedule car service,High,Personal,2023-12-13,2024-12-20,False
Book flight tickets,High,Personal,2024-01-08,2024-08-18,True
Book flight tickets,Medium,Work,2023-02-08,2023-09-26,True
Renew library membership,High,Personal,2023-12-30,2024-09-23,False
Call plumber,Low,Work,2023-02-23,2023-03-02,False
Work on project,High,Personal,2023-02-24,2024-06-22,True
Plan weekend trip,High,Work,2023-03-31,2024-12-28,True
Complete meeting,Low,Work,2023-04-11,2023-09-18,True
Go to school,High,Personal,2023-01-10,2023-01-24,False
Take stationary,Low,Work,2023-01-25,2023-03-11,False
Go to school,Medium,Work,2023-05-12,2023-12-10,False
Prepare presentation,Low,Work,2024-01-16,2024-09-01,False
Write report,Medium,Work,2024-05-02,2024-12-13,True
Go to bank,Medium,Work,2023-06-12,2023-11-01,True
Take groceries,High,Personal,2023-06-05,2024-05-03,True
Book flight tickets,Low,Work,2023-04-16,2024-08-20,False
Take groceries,Medium,Work,2023-02-14,2024-03-19,False
Work on project,Medium,Personal,2023-01-04,2023-10-31,True
Book flight tickets,High,Work,2023-11-07,2024-06-06,True
Send emails,High,Work,2023-05-29,2023-09-18,True
Take groceries,Medium,Personal,2023-04-17,2024-07-02,False
Book flight tickets,High,Work,2023-02-13,2024-08-07,False
Visit doctor,Medium,Personal,2023-04-25,2023-05-03,False
Work on project,High,Personal,2024-07-25,2024-12-02,False
Renew library membership,Low,Personal,2024-07-23,2024-10-07,True
Go to bank,High,Personal,2023-12-10,2024-03-23,True
Visit doctor,Medium,Work,2023-01-14,2024-08-23,False
Work on project,Low,Work,2023-03-06,2023-10-11,True
Book flight tickets,High,Work,2023-08-05,2023-09-18,False
Visit doctor,Low,Work,2023-05-15,2024-09-04,True
Call plumber,High,Work,2023-05-29,2024-10-27,True
Buy birthday gift,Medium,Personal,2023-05-28,2024-06-17,False
Read book,Medium,Personal,2023-03-01,2024-07-09,False
Buy birthday gift,High,Personal,2024-05-25,2024-12-09,False
Complete meeting,High,Personal,2023-06-10,2024-11-03,True
Plan weekend trip,Medium,Personal,2023-01-25,2024-01-01,True
Take stationary,Low,Work,2023-10-04,2024-04-14,True
Take stationary,Medium,Personal,2024-10-04,2024-12-11,False
Send emails,High,Personal,2023-12-18,2024-01-22,True
Write report,Low,Personal,2024-07-30,2024-12-18,False
